[0.000000] (-) TimerEvent: {}
[0.000094] (-) JobUnselected: {'identifier': 'laserscan_read'}
[0.000122] (-) JobUnselected: {'identifier': 'launch_test'}
[0.000133] (-) JobUnselected: {'identifier': 'ld14'}
[0.000142] (-) JobUnselected: {'identifier': 'learning_action'}
[0.000150] (-) JobUnselected: {'identifier': 'learning_action'}
[0.000159] (-) JobUnselected: {'identifier': 'learning_action_cpp'}
[0.000167] (-) JobUnselected: {'identifier': 'learning_cv'}
[0.000175] (-) JobUnselected: {'identifier': 'learning_gazebo'}
[0.000183] (-) JobUnselected: {'identifier': 'learning_gazebo_fortress'}
[0.000191] (-) JobUnselected: {'identifier': 'learning_interface'}
[0.000199] (-) JobUnselected: {'identifier': 'learning_launch'}
[0.000207] (-) JobUnselected: {'identifier': 'learning_node'}
[0.000215] (-) JobUnselected: {'identifier': 'learning_node_cpp'}
[0.000224] (-) JobUnselected: {'identifier': 'learning_parameter'}
[0.000232] (-) JobUnselected: {'identifier': 'learning_parameter_cpp'}
[0.000241] (-) JobUnselected: {'identifier': 'learning_pkg_c'}
[0.000248] (-) JobUnselected: {'identifier': 'learning_pkg_python'}
[0.000256] (-) JobUnselected: {'identifier': 'learning_qos'}
[0.000264] (-) JobUnselected: {'identifier': 'learning_service'}
[0.000273] (-) JobUnselected: {'identifier': 'learning_service_cpp'}
[0.000280] (-) JobUnselected: {'identifier': 'learning_tf'}
[0.000287] (-) JobUnselected: {'identifier': 'learning_tf_cpp'}
[0.000294] (-) JobUnselected: {'identifier': 'learning_topic'}
[0.000301] (-) JobUnselected: {'identifier': 'learning_topic_cpp'}
[0.000307] (-) JobUnselected: {'identifier': 'learning_urdf'}
[0.000314] (-) JobUnselected: {'identifier': 'node_build'}
[0.000321] (-) JobUnselected: {'identifier': 'param_test'}
[0.000327] (-) JobUnselected: {'identifier': 'robot_cartographer'}
[0.000334] (-) JobUnselected: {'identifier': 'robot_model'}
[0.000340] (-) JobUnselected: {'identifier': 'robot_simulate'}
[0.000348] (-) JobUnselected: {'identifier': 'robot_simulate'}
[0.000354] (-) JobUnselected: {'identifier': 'self_interface'}
[0.000361] (-) JobUnselected: {'identifier': 'self_interface_test'}
[0.000368] (-) JobUnselected: {'identifier': 'service_communication'}
[0.000375] (-) JobUnselected: {'identifier': 'tf_static_broadcast'}
[0.000381] (-) JobUnselected: {'identifier': 'topic_communication'}
[0.000388] (-) JobUnselected: {'identifier': 'village_li'}
[0.000395] (-) JobUnselected: {'identifier': 'village_wang'}
[0.000401] (-) JobUnselected: {'identifier': 'wit_ros2_imu'}
[0.000409] (-) EventReactorShutdown: {}
