[0.000000] (-) TimerEvent: {}
[0.000128] (-) JobUnselected: {'identifier': 'learning_action'}
[0.000438] (-) JobUnselected: {'identifier': 'learning_action'}
[0.000461] (-) JobUnselected: {'identifier': 'learning_action_cpp'}
[0.000471] (-) JobUnselected: {'identifier': 'learning_cv'}
[0.000481] (-) JobUnselected: {'identifier': 'learning_gazebo'}
[0.000489] (-) JobUnselected: {'identifier': 'learning_gazebo_fortress'}
[0.000497] (-) JobUnselected: {'identifier': 'learning_interface'}
[0.000506] (-) JobUnselected: {'identifier': 'learning_launch'}
[0.000514] (-) JobUnselected: {'identifier': 'learning_node_cpp'}
[0.000522] (-) JobUnselected: {'identifier': 'learning_parameter'}
[0.000530] (-) JobUnselected: {'identifier': 'learning_parameter_cpp'}
[0.000539] (-) JobUnselected: {'identifier': 'learning_pkg_c'}
[0.000547] (-) JobUnselected: {'identifier': 'learning_pkg_python'}
[0.000555] (-) JobUnselected: {'identifier': 'learning_qos'}
[0.000564] (-) JobUnselected: {'identifier': 'learning_service'}
[0.000572] (-) JobUnselected: {'identifier': 'learning_service_cpp'}
[0.000580] (-) JobUnselected: {'identifier': 'learning_tf'}
[0.000588] (-) JobUnselected: {'identifier': 'learning_tf_cpp'}
[0.000597] (-) JobUnselected: {'identifier': 'learning_topic'}
[0.000605] (-) JobUnselected: {'identifier': 'learning_topic_cpp'}
[0.000614] (-) JobUnselected: {'identifier': 'learning_urdf'}
[0.000622] (-) JobUnselected: {'identifier': 'village_li'}
[0.000631] (-) JobUnselected: {'identifier': 'village_wang'}
[0.000639] (-) EventReactorShutdown: {}
